note,pizza,drink,call,shower,position
Pen and paper,Pepperoni,Beer,Your friend,Your face,On your side
Just listen,Funghi,Water,Your partner,Your face,On your side
Just listen,"Margherita",Water,Your friend,Your face,On your back
Pen and paper,Hawaiian,Coke,Your partner,Your hair,On your back
Computer,Garden,Water,Your partner,Your face,On your side
Computer,"Margherita",Wine,Your friend,Your body,On your side
Pen and paper,Pepperoni,Coke,Your friend,Your body,On your side
Pen and paper,Hawaiian,Coffee,Your friend,Your hair,On your side
Pen and paper,Hawaiian,Coke,Your partner,Your hair,Hugging something
Computer,Garden,Water,Your partner,Your body,On your side
Computer,Pepperoni,Coke,Your friend,Your body,On your side
Computer,Pepperoni,Water,Your friend,Your hair,Hugging something
Just listen,Hawaiian,Coke,Your friend,Your face,Hugging something
Just listen,Hawaiian,Coke,Your friend,Your hair,On your side
